Invoice ID,Branch,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Date,Time,Payment,Rating,Month
750-67-8428,Yangon,Normal,Male,Health and beauty,74.69,7,26.141499999999997,548.9714999999999,2019-05-01,13:08,Ewallet,9.1,2019-05
226-31-3081,Naypyitaw,Normal,Male,Electronic accessories,15.28,5,3.82,80.21999999999998,2019-08-03,10:29,Cash,9.6,2019-08
631-41-3108,Yangon,Normal,Male,Home and lifestyle,46.33,7,16.215500000000002,340.5255,2019-03-03,13:23,Credit card,7.4,2019-03
123-19-1176,Yangon,Normal,Male,Health and beauty,58.22,8,23.288,489.048,2019-01-27,8:30,Ewallet,8.4,2019-01
373-73-7910,Yangon,Normal,Male,Sports and travel,86.31,7,30.208500000000004,634.3785,2019-08-02,10:37,Ewallet,5.3,2019-08
699-14-3026,Naypyitaw,Normal,Male,Electronic accessories,85.39,7,29.8865,627.6165,2019-03-25,18:30,Ewallet,4.1,2019-03
355-53-5943,Yangon,Normal,Male,Electronic accessories,68.84,6,20.652,433.692,2019-02-25,14:36,Ewallet,5.8,2019-02
315-22-5665,Naypyitaw,Normal,Male,Home and lifestyle,73.56,10,36.78,772.38,2019-02-24,11:38,Ewallet,8.0,2019-02
665-32-9167,Yangon,Normal,Male,Health and beauty,36.26,2,3.626,76.146,2019-10-01,17:15,Credit card,7.2,2019-10
692-92-5582,Mandalay,Normal,Male,Food and beverages,54.84,3,8.226,172.746,2019-02-20,13:27,Credit card,5.9,2019-02
351-62-0822,Mandalay,Normal,Male,Fashion accessories,14.48,4,2.8960000000000004,60.816,2019-06-02,18:07,Ewallet,4.5,2019-06
529-56-3974,Mandalay,Normal,Male,Electronic accessories,25.51,4,5.102,107.14200000000001,2019-09-03,17:03,Cash,6.8,2019-09
365-64-0515,Yangon,Normal,Male,Electronic accessories,46.95,5,11.7375,246.4875,2019-12-02,10:25,Ewallet,7.1,2019-12
252-56-2699,Yangon,Normal,Male,Food and beverages,43.19,10,21.595,453.495,2019-07-02,16:48,Ewallet,8.2,2019-07
829-34-3910,Yangon,Normal,Male,Health and beauty,71.38,10,35.69,749.49,2019-03-29,19:21,Cash,5.7,2019-03
299-46-1805,Mandalay,Normal,Male,Sports and travel,93.72,6,28.116,590.4359999999999,2019-01-15,16:19,Cash,4.5,2019-01
656-95-9349,Yangon,Normal,Male,Health and beauty,68.93,7,24.125500000000002,506.63550000000004,2019-11-03,11:03,Credit card,4.6,2019-11
